step    3000 | total 129.985 | gen 2.596 | disc 0.194 | disc_acc 0.928 | rep 0.177 | mtok 23338 | util 0.731 | lr_m 1.50e-04 | lr_c 1.50e-05 | 4.00 step/s | mem 12.7GB
step    3100 | total 128.803 | gen 2.572 | disc 0.191 | disc_acc 0.929 | rep 0.176 | mtok 23469 | util 0.729 | lr_m 1.55e-04 | lr_c 1.55e-05 | 4.00 step/s | mem 12.7GB
step    3200 | total 129.567 | gen 2.587 | disc 0.194 | disc_acc 0.928 | rep 0.175 | mtok 23371 | util 0.732 | lr_m 1.60e-04 | lr_c 1.60e-05 | 3.86 step/s | mem 12.7GB
step    3300 | total 127.645 | gen 2.549 | disc 0.192 | disc_acc 0.929 | rep 0.176 | mtok 23240 | util 0.737 | lr_m 1.65e-04 | lr_c 1.65e-05 | 3.95 step/s | mem 12.7GB
step    3400 | total 126.559 | gen 2.527 | disc 0.191 | disc_acc 0.929 | rep 0.175 | mtok 23163 | util 0.735 | lr_m 1.70e-04 | lr_c 1.70e-05 | 3.87 step/s | mem 12.7GB
step    3500 | total 126.039 | gen 2.517 | disc 0.193 | disc_acc 0.929 | rep 0.175 | mtok 23172 | util 0.732 | lr_m 1.75e-04 | lr_c 1.75e-05 | 4.02 step/s | mem 12.7GB
step    3600 | total 125.258 | gen 2.501 | disc 0.189 | disc_acc 0.930 | rep 0.174 | mtok 23297 | util 0.727 | lr_m 1.80e-04 | lr_c 1.80e-05 | 4.02 step/s | mem 12.7GB
step    3700 | total 125.237 | gen 2.501 | disc 0.191 | disc_acc 0.930 | rep 0.174 | mtok 23554 | util 0.730 | lr_m 1.85e-04 | lr_c 1.85e-05 | 4.01 step/s | mem 12.7GB
step    3800 | total 123.974 | gen 2.476 | disc 0.195 | disc_acc 0.929 | rep 0.172 | mtok 23103 | util 0.737 | lr_m 1.90e-04 | lr_c 1.90e-05 | 4.00 step/s | mem 12.7GB
step    3900 | total 123.363 | gen 2.463 | disc 0.193 | disc_acc 0.930 | rep 0.172 | mtok 23150 | util 0.738 | lr_m 1.95e-04 | lr_c 1.95e-05 | 4.00 step/s | mem 12.7GB
step    4000 | total 122.396 | gen 2.444 | disc 0.193 | disc_acc 0.930 | rep 0.172 | mtok 23280 | util 0.735 | lr_m 2.00e-04 | lr_c 2.00e-05 | 4.00 step/s | mem 12.7GB
step    4100 | total 121.697 | gen 2.430 | disc 0.190 | disc_acc 0.931 | rep 0.171 | mtok 23365 | util 0.728 | lr_m 2.05e-04 | lr_c 2.05e-05 | 4.00 step/s | mem 12.7GB
step    4200 | total 120.850 | gen 2.413 | disc 0.192 | disc_acc 0.931 | rep 0.170 | mtok 23569 | util 0.731 | lr_m 2.10e-04 | lr_c 2.10e-05 | 3.99 step/s | mem 12.7GB
step    4300 | total 120.898 | gen 2.414 | disc 0.196 | disc_acc 0.930 | rep 0.169 | mtok 23298 | util 0.738 | lr_m 2.15e-04 | lr_c 2.15e-05 | 3.98 step/s | mem 12.7GB
step    4400 | total 119.266 | gen 2.381 | disc 0.193 | disc_acc 0.931 | rep 0.169 | mtok 23136 | util 0.737 | lr_m 2.20e-04 | lr_c 2.20e-05 | 3.97 step/s | mem 12.7GB
step    4500 | total 118.860 | gen 2.373 | disc 0.194 | disc_acc 0.931 | rep 0.168 | mtok 23185 | util 0.737 | lr_m 2.25e-04 | lr_c 2.25e-05 | 3.98 step/s | mem 12.7GB
step    4600 | total 118.176 | gen 2.360 | disc 0.190 | disc_acc 0.933 | rep 0.168 | mtok 23523 | util 0.732 | lr_m 2.30e-04 | lr_c 2.30e-05 | 3.85 step/s | mem 12.7GB
step    4700 | total 116.840 | gen 2.333 | disc 0.190 | disc_acc 0.933 | rep 0.166 | mtok 23510 | util 0.731 | lr_m 2.35e-04 | lr_c 2.35e-05 | 3.95 step/s | mem 12.7GB
step    4800 | total 117.344 | gen 2.343 | disc 0.194 | disc_acc 0.932 | rep 0.165 | mtok 23282 | util 0.732 | lr_m 2.40e-04 | lr_c 2.40e-05 | 3.90 step/s | mem 12.7GB
step    4900 | total 116.168 | gen 2.320 | disc 0.192 | disc_acc 0.933 | rep 0.165 | mtok 23193 | util 0.736 | lr_m 2.45e-04 | lr_c 2.45e-05 | 3.91 step/s | mem 12.7GB
step    5000 | total 115.390 | gen 2.304 | disc 0.192 | disc_acc 0.933 | rep 0.165 | mtok 23157 | util 0.737 | lr_m 2.50e-04 | lr_c 2.50e-05 | 4.00 step/s | mem 12.7GB
[Val] step 5000 | val/gen_loss=2.1607 | val/disc_loss=0.1844 | val/total_loss=108.2193 | val/disc_acc=0.9377 | val/patch_util=0.7531
step    5100 | total 115.088 | gen 2.298 | disc 0.189 | disc_acc 0.934 | rep 0.164 | mtok 23208 | util 0.729 | lr_m 2.55e-04 | lr_c 2.55e-05 | 0.51 step/s | mem 12.7GB
step    5200 | total 114.021 | gen 2.277 | disc 0.188 | disc_acc 0.935 | rep 0.163 | mtok 23579 | util 0.732 | lr_m 2.60e-04 | lr_c 2.60e-05 | 4.00 step/s | mem 12.7GB
step    5300 | total 114.266 | gen 2.281 | disc 0.192 | disc_acc 0.934 | rep 0.162 | mtok 23204 | util 0.735 | lr_m 2.65e-04 | lr_c 2.65e-05 | 4.04 step/s | mem 12.7GB
step    5400 | total 113.328 | gen 2.263 | disc 0.189 | disc_acc 0.935 | rep 0.162 | mtok 23177 | util 0.738 | lr_m 2.70e-04 | lr_c 2.70e-05 | 4.04 step/s | mem 12.7GB
step    5500 | total 113.158 | gen 2.259 | disc 0.188 | disc_acc 0.935 | rep 0.162 | mtok 23104 | util 0.733 | lr_m 2.75e-04 | lr_c 2.75e-05 | 4.03 step/s | mem 12.7GB
step    5600 | total 112.338 | gen 2.243 | disc 0.186 | disc_acc 0.936 | rep 0.161 | mtok 23422 | util 0.735 | lr_m 2.80e-04 | lr_c 2.80e-05 | 4.02 step/s | mem 12.7GB
step    5700 | total 111.962 | gen 2.236 | disc 0.186 | disc_acc 0.937 | rep 0.160 | mtok 23504 | util 0.729 | lr_m 2.85e-04 | lr_c 2.85e-05 | 4.01 step/s | mem 12.7GB
step    5800 | total 111.652 | gen 2.229 | disc 0.187 | disc_acc 0.936 | rep 0.160 | mtok 23153 | util 0.737 | lr_m 2.90e-04 | lr_c 2.90e-05 | 4.00 step/s | mem 12.7GB
step    5900 | total 110.763 | gen 2.212 | disc 0.185 | disc_acc 0.937 | rep 0.160 | mtok 23181 | util 0.738 | lr_m 2.95e-04 | lr_c 2.95e-05 | 3.99 step/s | mem 12.7GB
step    6000 | total 110.762 | gen 2.212 | disc 0.184 | disc_acc 0.937 | rep 0.160 | mtok 23193 | util 0.731 | lr_m 3.00e-04 | lr_c 3.00e-05 | 3.99 step/s | mem 12.7GB
step    6100 | total 109.648 | gen 2.189 | disc 0.181 | disc_acc 0.939 | rep 0.159 | mtok 23561 | util 0.732 | lr_m 3.05e-04 | lr_c 3.05e-05 | 3.99 step/s | mem 12.7GB
step    6200 | total 109.619 | gen 2.189 | disc 0.184 | disc_acc 0.938 | rep 0.157 | mtok 23372 | util 0.733 | lr_m 3.10e-04 | lr_c 3.10e-05 | 3.99 step/s | mem 12.7GB
step    6300 | total 109.389 | gen 2.184 | disc 0.183 | disc_acc 0.938 | rep 0.158 | mtok 23145 | util 0.738 | lr_m 3.15e-04 | lr_c 3.15e-05 | 3.99 step/s | mem 12.7GB
step    6400 | total 108.782 | gen 2.172 | disc 0.182 | disc_acc 0.938 | rep 0.158 | mtok 23145 | util 0.736 | lr_m 3.20e-04 | lr_c 3.20e-05 | 3.99 step/s | mem 12.7GB
step    6500 | total 109.068 | gen 2.178 | disc 0.180 | disc_acc 0.939 | rep 0.158 | mtok 23274 | util 0.730 | lr_m 3.25e-04 | lr_c 3.25e-05 | 3.94 step/s | mem 12.7GB
step    6600 | total 107.352 | gen 2.143 | disc 0.179 | disc_acc 0.940 | rep 0.156 | mtok 23609 | util 0.729 | lr_m 3.30e-04 | lr_c 3.30e-05 | 3.84 step/s | mem 12.7GB
step    6700 | total 107.798 | gen 2.152 | disc 0.182 | disc_acc 0.939 | rep 0.156 | mtok 23165 | util 0.736 | lr_m 3.35e-04 | lr_c 3.35e-05 | 3.83 step/s | mem 12.7GB
step    6800 | total 107.658 | gen 2.150 | disc 0.180 | disc_acc 0.939 | rep 0.156 | mtok 23044 | util 0.735 | lr_m 3.40e-04 | lr_c 3.40e-05 | 4.00 step/s | mem 12.7GB
step    6900 | total 107.724 | gen 2.151 | disc 0.179 | disc_acc 0.940 | rep 0.157 | mtok 23193 | util 0.732 | lr_m 3.45e-04 | lr_c 3.45e-05 | 3.95 step/s | mem 12.7GB
step    7000 | total 106.421 | gen 2.125 | disc 0.177 | disc_acc 0.941 | rep 0.156 | mtok 23367 | util 0.728 | lr_m 3.50e-04 | lr_c 3.50e-05 | 3.99 step/s | mem 12.7GB
step    7100 | total 105.846 | gen 2.113 | disc 0.179 | disc_acc 0.940 | rep 0.153 | mtok 23255 | util 0.728 | lr_m 3.55e-04 | lr_c 3.55e-05 | 3.99 step/s | mem 12.7GB
step    7200 | total 106.257 | gen 2.122 | disc 0.179 | disc_acc 0.940 | rep 0.155 | mtok 23155 | util 0.742 | lr_m 3.60e-04 | lr_c 3.60e-05 | 3.98 step/s | mem 12.7GB
step    7300 | total 105.670 | gen 2.110 | disc 0.179 | disc_acc 0.940 | rep 0.155 | mtok 23202 | util 0.739 | lr_m 3.65e-04 | lr_c 3.65e-05 | 3.98 step/s | mem 12.7GB
step    7400 | total 105.707 | gen 2.111 | disc 0.175 | disc_acc 0.942 | rep 0.155 | mtok 23351 | util 0.727 | lr_m 3.70e-04 | lr_c 3.70e-05 | 3.99 step/s | mem 12.7GB
step    7500 | total 104.418 | gen 2.085 | disc 0.177 | disc_acc 0.942 | rep 0.153 | mtok 23441 | util 0.727 | lr_m 3.75e-04 | lr_c 3.75e-05 | 3.99 step/s | mem 12.7GB
step    7600 | total 104.900 | gen 2.094 | disc 0.177 | disc_acc 0.941 | rep 0.154 | mtok 23100 | util 0.738 | lr_m 3.80e-04 | lr_c 3.80e-05 | 4.00 step/s | mem 12.7GB
step    7700 | total 104.699 | gen 2.090 | disc 0.177 | disc_acc 0.941 | rep 0.154 | mtok 23124 | util 0.736 | lr_m 3.85e-04 | lr_c 3.85e-05 | 3.99 step/s | mem 12.7GB
step    7800 | total 104.535 | gen 2.087 | disc 0.174 | disc_acc 0.942 | rep 0.154 | mtok 23351 | util 0.736 | lr_m 3.90e-04 | lr_c 3.90e-05 | 3.99 step/s | mem 12.7GB
step    7900 | total 102.913 | gen 2.055 | disc 0.174 | disc_acc 0.943 | rep 0.152 | mtok 23498 | util 0.729 | lr_m 3.95e-04 | lr_c 3.95e-05 | 3.98 step/s | mem 12.7GB
step    8000 | total 103.703 | gen 2.071 | disc 0.177 | disc_acc 0.941 | rep 0.153 | mtok 23198 | util 0.738 | lr_m 4.00e-04 | lr_c 4.00e-05 | 3.98 step/s | mem 12.7GB
step    8100 | total 103.404 | gen 2.065 | disc 0.175 | disc_acc 0.942 | rep 0.152 | mtok 23101 | util 0.738 | lr_m 4.05e-04 | lr_c 4.05e-05 | 3.94 step/s | mem 12.7GB
step    8200 | total 103.835 | gen 2.073 | disc 0.175 | disc_acc 0.942 | rep 0.153 | mtok 23198 | util 0.734 | lr_m 4.10e-04 | lr_c 4.10e-05 | 3.89 step/s | mem 12.7GB
step    8300 | total 102.412 | gen 2.045 | disc 0.171 | disc_acc 0.944 | rep 0.152 | mtok 23515 | util 0.730 | lr_m 4.15e-04 | lr_c 4.15e-05 | 3.90 step/s | mem 12.7GB
step    8400 | total 102.210 | gen 2.041 | disc 0.176 | disc_acc 0.942 | rep 0.151 | mtok 23221 | util 0.737 | lr_m 4.20e-04 | lr_c 4.20e-05 | 3.87 step/s | mem 12.7GB
